variant,workload,n,fanout_target,groups,zipf_s,bytes_per_key,internal_node_bytes,leaf_bytes,total_bytes,internal_nodes,leaves,avg_leaf_depth,max_leaf_depth,node2,node4,node5,node16,node32,node48,node64,node256,menu_count
count3_node4_node16_node256,sparse_uint64,65536,0,0,0,47.222,1521888.0,1572864.0,3094752.0,17562.0,65536.0,2.634,4.0,0.0,17090.0,0.0,215.0,0.0,0.0,0.0,257.0,3
count3_node4_node16_node256,sparse_uint64,262144,0,0,0,48.652,6462448.0,6291456.0,12753904.0,61603.0,262144.0,2.996,5.0,0.0,37340.0,0.0,24006.0,0.0,0.0,0.0,257.0,3
count3_node4_node16_node256,sparse_uint64,1048576,0,0,0,81.976,60792520.0,25165824.0,85958344.0,97135.0,1048576.0,3.061,6.0,0.0,31375.0,0.0,40280.0,0.0,0.0,0.0,25480.0,3
count3_node4_node16_node256,uuid_fixture,4096,0,0,0,79.682,109288.0,217088.0,326376.0,1426.0,4096.0,3.7039999999999997,7.0,0.0,1143.0,0.0,283.0,0.0,0.0,0.0,0.0,3
count3_node4_node16_node256,uuid_fixture,16384,0,0,0,81.205,462104.0,868352.0,1330456.0,5728.0,16384.0,4.223,7.0,0.0,4369.0,0.0,1359.0,0.0,0.0,0.0,0.0,3
count3_node4_node16_node256,uuid_fixture,65536,0,0,0,79.732,1751928.0,3473408.0,5225336.0,22957.0,65536.0,4.7,10.0,0.0,18473.0,0.0,4484.0,0.0,0.0,0.0,0.0,3
count3_node4_node16_node256,uuid_fixture,100000,0,0,0,79.273,2627328.0,5300000.0,7927328.0,37408.0,100000.0,4.881,10.0,0.0,32288.0,0.0,5120.0,0.0,0.0,0.0,0.0,3
count3_node4_node16_node256,words_fixture,4096,0,0,0,63.88199999999999,153688.0,107973.0,261661.0,2271.0,4096.0,7.882,18.0,0.0,2071.0,0.0,197.0,0.0,0.0,0.0,3.0,3
count3_node4_node16_node256,words_fixture,16384,0,0,0,65.576,638416.0,435989.0,1074405.0,8947.0,16384.0,8.015,22.0,0.0,8102.0,0.0,819.0,0.0,0.0,0.0,26.0,3
count3_node4_node16_node256,words_fixture,65536,0,0,0,65.075,2531752.0,1733029.0,4264781.0,34424.0,65536.0,7.943,22.0,0.0,30923.0,0.0,3375.0,0.0,0.0,0.0,126.0,3
