menu,node_count,node_types,variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes,node2,node5,node2_bytes,node5_bytes,fanout_1_2,fanout_3_5,fanout_6_16,unique_keys,duplicate_keys
count1_node256,1,NODE256,count1_node256,sparse_uint64,1000000,1,0,0,0,0,lookup_absent_late,0.072149000,1000000,13.860206,1000000,0,0,0,0,94318,94318,1000000,194672352,24000000,218672352,218.672,3.058,6,28581,44789,20689,2,0,257,0,0,0,0,0,0,194672352,0,0,0,0,27948,748,44674,1000000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,1000000,1,0,0,0,0,insert,0.235882000,1000000,4.239408,1000000,0,0,0,0,94318,94318,1000000,194672352,24000000,218672352,218.672,3.058,6,28581,44789,20689,2,0,257,0,0,0,0,0,0,194672352,0,0,0,0,27948,748,44674,1000000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,1000000,1,0,0,0,0,lookup_success,0.107152000,1000000,9.332537,1000000,0,0,0,0,94318,94318,1000000,194672352,24000000,218672352,218.672,3.058,6,28581,44789,20689,2,0,257,0,0,0,0,0,0,194672352,0,0,0,0,27948,748,44674,1000000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,1000000,1,0,0,0,0,lookup_absent_early,0.043374999,1000000,23.054755,1000000,0,0,0,0,94318,94318,1000000,194672352,24000000,218672352,218.672,3.058,6,28581,44789,20689,2,0,257,0,0,0,0,0,0,194672352,0,0,0,0,27948,748,44674,1000000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,1000000,1,0,0,0,0,lookup_absent_late,0.072152000,1000000,13.859630,1000000,0,0,0,0,94318,94318,1000000,194672352,24000000,218672352,218.672,3.058,6,28581,44789,20689,2,0,257,0,0,0,0,0,0,194672352,0,0,0,0,27948,748,44674,1000000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,1000000,1,0,0,0,0,insert,0.232002000,1000000,4.310308,1000000,0,0,0,0,94318,94318,1000000,194672352,24000000,218672352,218.672,3.058,6,28581,44789,20689,2,0,257,0,0,0,0,0,0,194672352,0,0,0,0,27948,748,44674,1000000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,1000000,1,0,0,0,0,lookup_success,0.106762000,1000000,9.366629,1000000,0,0,0,0,94318,94318,1000000,194672352,24000000,218672352,218.672,3.058,6,28581,44789,20689,2,0,257,0,0,0,0,0,0,194672352,0,0,0,0,27948,748,44674,1000000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,1000000,1,0,0,0,0,lookup_absent_early,0.043617000,1000000,22.926841,1000000,0,0,0,0,94318,94318,1000000,194672352,24000000,218672352,218.672,3.058,6,28581,44789,20689,2,0,257,0,0,0,0,0,0,194672352,0,0,0,0,27948,748,44674,1000000,0
count1_node256,1,NODE256,count1_node256,sparse_uint64,1000000,1,0,0,0,0,lookup_absent_late,0.072904000,1000000,13.716668,1000000,0,0,0,0,94318,94318,1000000,194672352,24000000,218672352,218.672,3.058,6,28581,44789,20689,2,0,257,0,0,0,0,0,0,194672352,0,0,0,0,27948,748,44674,1000000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,100000,1,10,10000,0,0,insert,0.009719000,100000,10.289124,100000,0,0,0,0,10041,10041,100000,20724624,2200000,22924624,229.246,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,100000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,100000,1,10,10000,0,0,lookup_success,0.002090000,100000,47.846899,100000,0,0,0,0,10041,10041,100000,20724624,2200000,22924624,229.246,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,100000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,100000,1,10,10000,0,0,lookup_absent_early,0.002425999,100000,41.220126,100000,0,0,0,0,10041,10041,100000,20724624,2200000,22924624,229.246,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,100000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,100000,1,10,10000,0,0,lookup_absent_late,0.001651000,100000,60.569343,100000,0,0,0,0,10041,10041,100000,20724624,2200000,22924624,229.246,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,100000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,100000,1,10,10000,0,0,insert,0.009037000,100000,11.065619,100000,0,0,0,0,10041,10041,100000,20724624,2200000,22924624,229.246,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,100000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,100000,1,10,10000,0,0,lookup_success,0.001579000,100000,63.331235,100000,0,0,0,0,10041,10041,100000,20724624,2200000,22924624,229.246,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,100000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,100000,1,10,10000,0,0,lookup_absent_early,0.001560000,100000,64.102573,100000,0,0,0,0,10041,10041,100000,20724624,2200000,22924624,229.246,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,100000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,100000,1,10,10000,0,0,lookup_absent_late,0.001078000,100000,92.764353,100000,0,0,0,0,10041,10041,100000,20724624,2200000,22924624,229.246,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,100000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,100000,1,10,10000,0,0,insert,0.008559000,100000,11.683608,100000,0,0,0,0,10041,10041,100000,20724624,2200000,22924624,229.246,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,100000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,100000,1,10,10000,0,0,lookup_success,0.002015000,100000,49.627786,100000,0,0,0,0,10041,10041,100000,20724624,2200000,22924624,229.246,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,100000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,100000,1,10,10000,0,0,lookup_absent_early,0.001712000,100000,58.411215,100000,0,0,0,0,10041,10041,100000,20724624,2200000,22924624,229.246,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,100000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,100000,1,10,10000,0,0,lookup_absent_late,0.001657001,100000,60.350003,100000,0,0,0,0,10041,10041,100000,20724624,2200000,22924624,229.246,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,100000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,160000,1,16,10000,0,0,insert,0.016214000,160000,9.868015,160000,0,0,0,0,10041,10041,160000,20724624,3520000,24244624,151.529,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,160000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,160000,1,16,10000,0,0,lookup_success,0.003693000,160000,43.325205,160000,0,0,0,0,10041,10041,160000,20724624,3520000,24244624,151.529,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,160000,0
count1_node256,1,NODE256,count1_node256,controlled_fanout,160000,1,16,10000,0,0,lookup_absent_early,0.003493000,160000,45.805900,160000,0,0,0,0,10041,10041,160000,20724624,3520000,24244624,151.529,5.000,5,0,10001,0,1,0,39,0,0,0,0,0,0,20724624,0,0,0,0,0,0,10001,160000,0
