variant,workload,n,fanout_target,groups,zipf_s,operation,runs,mean,std,ci95
node256_only,controlled_fanout,20000,2,10000,0.0,insert,25,2.9929516,0.1303311115105805,0.05108979571214756
node256_only,controlled_fanout,20000,2,10000,0.0,lookup_absent,25,52.40159592,1.69146099890846,0.6630527115721163
node256_only,controlled_fanout,20000,2,10000,0.0,lookup_success,25,18.04589528,1.429774675296062,0.5604716727160564
node256_only,controlled_fanout,22400,224,100,0.0,insert,25,22.57243204,1.250794900833783,0.49031160112684297
node256_only,controlled_fanout,22400,224,100,0.0,lookup_absent,25,109.6677748,5.157381400767225,2.021693509100752
node256_only,controlled_fanout,22400,224,100,0.0,lookup_success,25,58.51328812,1.9421513937598796,0.7613233463538728
node256_only,controlled_fanout,24000,24,1000,0.0,insert,25,14.60259628,0.7556826546715075,0.29622760063123094
node256_only,controlled_fanout,24000,24,1000,0.0,lookup_absent,25,87.42164836,4.975570381692328,1.9504235896233926
node256_only,controlled_fanout,24000,24,1000,0.0,lookup_success,25,46.95186992,1.7569700913005002,0.688732275789796
node256_only,controlled_fanout,25500,255,100,0.0,insert,25,22.22871216,1.990145635118187,0.7801370889663293
node256_only,controlled_fanout,25500,255,100,0.0,lookup_absent,25,107.58162947999999,4.733436778934618,1.8555072173423703
node256_only,controlled_fanout,25500,255,100,0.0,lookup_success,25,55.63736924,2.1043022820769726,0.8248864945741733
node256_only,controlled_fanout,30000,3,10000,0.0,insert,25,3.74444872,0.10916275425044626,0.04279179966617493
node256_only,controlled_fanout,30000,3,10000,0.0,lookup_absent,25,54.34714828,2.1701576570698644,0.8507018015713868
node256_only,controlled_fanout,30000,3,10000,0.0,lookup_success,25,18.8311654,1.380108151846804,0.5410023955239471
node256_only,controlled_fanout,31000,31,1000,0.0,insert,25,15.39280216,1.2263628668052229,0.4807342437876474
node256_only,controlled_fanout,31000,31,1000,0.0,lookup_absent,25,86.97244552000001,4.01089635484009,1.5722713710973155
node256_only,controlled_fanout,31000,31,1000,0.0,lookup_success,25,44.10599924,2.0314903742217463,0.7963442266949246
node256_only,controlled_fanout,32000,32,1000,0.0,insert,25,15.577709319999999,0.9447813841222619,0.37035430257592666
node256_only,controlled_fanout,32000,32,1000,0.0,lookup_absent,25,86.66420320000002,5.749116267009545,2.253653576667742
node256_only,controlled_fanout,32000,32,1000,0.0,lookup_success,25,43.95477276,1.1119046635872647,0.4358666281262077
node256_only,controlled_fanout,33000,33,1000,0.0,insert,25,15.44841984,1.0596395100146747,0.4153786879257525
node256_only,controlled_fanout,33000,33,1000,0.0,lookup_absent,25,86.73789951999998,3.4393342043120714,1.3482190080903318
node256_only,controlled_fanout,33000,33,1000,0.0,lookup_success,25,43.86425936,1.0502385503071772,0.4116935117204134
node256_only,controlled_fanout,34000,34,1000,0.0,insert,25,15.41859284,0.8812871870278572,0.34546457731492003
node256_only,controlled_fanout,34000,34,1000,0.0,lookup_absent,25,86.15776480000001,4.962820684766184,1.9454257084283442
node256_only,controlled_fanout,34000,34,1000,0.0,lookup_success,25,42.9562318,1.388285692186262,0.5442079913370147
node256_only,controlled_fanout,37000,37,1000,0.0,insert,25,15.6015336,0.7685614449560942,0.3012760864227889
node256_only,controlled_fanout,37000,37,1000,0.0,lookup_absent,25,86.38062192,4.0296172844336695,1.5796099754979984
node256_only,controlled_fanout,37000,37,1000,0.0,lookup_success,25,42.57241019999999,1.4718230531306238,0.5769546368272045
node256_only,controlled_fanout,40000,4,10000,0.0,insert,25,4.23288984,0.4471244988288754,0.17527280354091915
node256_only,controlled_fanout,40000,4,10000,0.0,lookup_absent,25,57.889065360000004,1.4143329377076166,0.5544185115813857
node256_only,controlled_fanout,40000,4,10000,0.0,lookup_success,25,18.619831480000002,1.2987892014120663,0.5091253669535301
node256_only,controlled_fanout,40000,40,1000,0.0,insert,25,15.83426676,0.6603956822954251,0.25887510745980663
node256_only,controlled_fanout,40000,40,1000,0.0,lookup_absent,25,85.01626519999999,4.613990175724908,1.8086841488841638
node256_only,controlled_fanout,40000,40,1000,0.0,lookup_success,25,41.97100492,1.0759281606824376,0.4217638389875155
node256_only,controlled_fanout,47000,47,1000,0.0,insert,25,15.941213479999998,0.9490251745939141,0.3720178684408143
