variant,workload,n,fanout_target,groups,bytes_per_key,internal_node_bytes,leaf_bytes,total_bytes,internal_nodes,leaves,avg_leaf_depth,max_leaf_depth,node2,node4,node5,node16,node32,node48,node64,node256,node2_bytes,node4_bytes,node5_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes,fanout_1_2,fanout_3_5,fanout_6_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256
node32_node64,dense_uint64,262144,0,0,32.094,2121848.0,6291456.0,8413304.0,1029.0,262144.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1028.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,2121792.0,0.0,1.0,0.0,0.0,0.0,0.0,1028.0
node32_node64,dense_uint64,524288,0,0,32.094,4243744.0,12582912.0,16826656.0,2057.0,524288.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2056.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,4243584.0,0.0,0.0,1.0,0.0,0.0,0.0,2056.0
node32_node64,dense_uint64,1048576,0,0,32.094,8487328.0,25165824.0,33653152.0,4113.0,1048576.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4112.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,8487168.0,0.0,0.0,1.0,0.0,0.0,0.0,4112.0
node32_node64,dense_uint64,2097152,0,0,32.094,16974640.0,50331648.0,67306288.0,8225.0,2097152.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8224.0,0.0,0.0,0.0,0.0,304.0,0.0,0.0,16974336.0,0.0,0.0,0.0,1.0,0.0,0.0,8224.0
node32_node64,dense_uint64,4194304,0,0,32.094,33949456.0,100663296.0,134612752.0,16449.0,4194304.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16448.0,0.0,0.0,0.0,0.0,0.0,0.0,784.0,33948672.0,0.0,0.0,0.0,0.0,0.0,1.0,16448.0
node32_node64,sparse_uint64,4096,0,0,39.734,64448.0,98304.0,162752.0,385.0,4096.0,2.065,4.0,0.0,128.0,0.0,157.0,99.0,0.0,0.0,1.0,0.0,7168.0,0.0,25120.0,30096.0,0.0,0.0,2064.0,125.0,3.0,157.0,99.0,0.0,0.0,1.0
node32_node64,sparse_uint64,8192,0,0,40.712,136904.0,196608.0,333512.0,756.0,8192.0,2.126,4.0,0.0,499.0,0.0,1.0,172.0,83.0,0.0,1.0,0.0,27944.0,0.0,160.0,52288.0,54448.0,0.0,2064.0,478.0,21.0,1.0,172.0,83.0,0.0,1.0
node32_node64,sparse_uint64,16384,0,0,44.331,333104.0,393216.0,726320.0,2045.0,16384.0,2.231,4.0,0.0,1788.0,0.0,0.0,0.0,34.0,195.0,28.0,0.0,100128.0,0.0,0.0,0.0,22304.0,152880.0,57792.0,1620.0,168.0,0.0,0.0,34.0,195.0,28.0
node32_node64,sparse_uint64,32768,0,0,50.34400000000001,863240.0,786432.0,1649672.0,6183.0,32768.0,2.397,4.0,0.0,5917.0,0.0,9.0,0.0,0.0,0.0,257.0,0.0,331352.0,0.0,1440.0,0.0,0.0,0.0,530448.0,4969.0,957.0,0.0,0.0,0.0,0.0,257.0
node32_node64,sparse_uint64,65536,0,0,47.222,1521888.0,1572864.0,3094752.0,17562.0,65536.0,2.634,4.0,0.0,17090.0,0.0,215.0,0.0,0.0,0.0,257.0,0.0,957040.0,0.0,34400.0,0.0,0.0,0.0,530448.0,12050.0,5221.0,34.0,0.0,0.0,0.0,257.0
