variant,workload,n,fanout_target,groups,zipf_s,bytes_per_key,internal_node_bytes,leaf_bytes,total_bytes,internal_nodes,leaves,avg_leaf_depth,max_leaf_depth,node2,node4,node5,node16,node32,node48,node64,node256,menu_count
count2_node16_node256,sparse_uint64,1048576,0,0,0,85.088,64055520.0,25165824.0,89221344.0,97135.0,1048576.0,3.0610000000000004,6.0,0.0,0.0,0.0,71655.0,0.0,0.0,0.0,25480.0,2
count2_node16_node256,uuid_fixture,4096,0,0,0,108.70300000000002,228160.0,217088.0,445248.0,1426.0,4096.0,3.704,7.0,0.0,0.0,0.0,1426.0,0.0,0.0,0.0,0.0,2
count2_node16_node256,uuid_fixture,8192,0,0,0,113.801,498080.0,434176.0,932256.0,3113.0,8192.0,4.007,7.0,0.0,0.0,0.0,3113.0,0.0,0.0,0.0,0.0,2
count2_node16_node256,uuid_fixture,16384,0,0,0,108.93800000000002,916480.0,868352.0,1784832.0,5728.0,16384.0,4.223,7.0,0.0,0.0,0.0,5728.0,0.0,0.0,0.0,0.0,2
count2_node16_node256,uuid_fixture,32768,0,0,0,104.12799999999999,1675360.0,1736704.0,3412064.0,10471.0,32768.0,4.428,7.0,0.0,0.0,0.0,10471.0,0.0,0.0,0.0,0.0,2
count2_node16_node256,uuid_fixture,65536,0,0,0,109.04699999999998,3673120.0,3473408.0,7146528.0,22957.0,65536.0,4.7,10.0,0.0,0.0,0.0,22957.0,0.0,0.0,0.0,0.0,2
count2_node16_node256,uuid_fixture,100000,0,0,0,112.853,5985280.0,5300000.0,11285280.0,37408.0,100000.0,4.881,10.0,0.0,0.0,0.0,37408.0,0.0,0.0,0.0,0.0,2
count2_node16_node256,words_fixture,4096,0,0,0,116.46599999999998,369072.0,107973.0,477045.0,2271.0,4096.0,7.882,18.0,0.0,0.0,0.0,2268.0,0.0,0.0,0.0,3.0,2
count2_node16_node256,words_fixture,8192,0,0,0,116.139,736752.0,214659.0,951411.0,4450.0,8192.0,7.708000000000001,21.0,0.0,0.0,0.0,4437.0,0.0,0.0,0.0,13.0,2
count2_node16_node256,words_fixture,16384,0,0,0,117.005,1481024.0,435989.0,1917013.0,8947.0,16384.0,8.015,22.0,0.0,0.0,0.0,8921.0,0.0,0.0,0.0,26.0,2
count2_node16_node256,words_fixture,32768,0,0,0,113.044,2846736.0,857474.0,3704210.0,16971.0,32768.0,7.666,22.0,0.0,0.0,0.0,16902.0,0.0,0.0,0.0,69.0,2
count2_node16_node256,words_fixture,65536,0,0,0,114.148,5747744.0,1733029.0,7480773.0,34424.0,65536.0,7.943,22.0,0.0,0.0,0.0,34298.0,0.0,0.0,0.0,126.0,2
count2_node16_node256,words_fixture,131072,0,0,0,114.522,11543744.0,3466906.0,15010650.0,68983.0,131072.0,7.931,22.0,0.0,0.0,0.0,68717.0,0.0,0.0,0.0,266.0,2
count2_node16_node256,words_fixture,235886,0,0,0,114.55599999999998,20754896.0,6267285.0,27022181.0,124256.0,235886.0,8.075,22.0,0.0,0.0,0.0,123797.0,0.0,0.0,0.0,459.0,2
count3_node4_node16_node256,dense_uint64,4096,0,0,0,32.102,33184.0,98304.0,131488.0,17.0,4096.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,3
count3_node4_node16_node256,dense_uint64,8192,0,0,0,32.314,68112.0,196608.0,264720.0,33.0,8192.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3
count3_node4_node16_node256,dense_uint64,16384,0,0,0,32.188,134160.0,393216.0,527376.0,65.0,16384.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,3
count3_node4_node16_node256,dense_uint64,32768,0,0,0,32.125,266256.0,786432.0,1052688.0,129.0,32768.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,3
count3_node4_node16_node256,dense_uint64,65536,0,0,0,32.094,530448.0,1572864.0,2103312.0,257.0,65536.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,3
count3_node4_node16_node256,dense_uint64,131072,0,0,0,32.094,1060952.0,3145728.0,4206680.0,515.0,131072.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,514.0,3
count3_node4_node16_node256,dense_uint64,262144,0,0,0,32.094,2121848.0,6291456.0,8413304.0,1029.0,262144.0,8.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1028.0,3
count3_node4_node16_node256,dense_uint64,524288,0,0,0,32.094,4243744.0,12582912.0,16826656.0,2057.0,524288.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2056.0,3
count3_node4_node16_node256,dense_uint64,1048576,0,0,0,32.094,8487328.0,25165824.0,33653152.0,4113.0,1048576.0,8.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4112.0,3
count3_node4_node16_node256,sparse_uint64,4096,0,0,0,82.273,238688.0,98304.0,336992.0,385.0,4096.0,2.065,4.0,0.0,128.0,0.0,157.0,0.0,0.0,0.0,100.0,3
count3_node4_node16_node256,sparse_uint64,8192,0,0,0,91.931,556488.0,196608.0,753096.0,756.0,8192.0,2.126,4.0,0.0,499.0,0.0,1.0,0.0,0.0,0.0,256.0,3
count3_node4_node16_node256,sparse_uint64,16384,0,0,0,62.486999999999995,630576.0,393216.0,1023792.0,2045.0,16384.0,2.231,4.0,0.0,1788.0,0.0,0.0,0.0,0.0,0.0,257.0,3
count3_node4_node16_node256,sparse_uint64,32768,0,0,0,50.34400000000001,863240.0,786432.0,1649672.0,6183.0,32768.0,2.397,4.0,0.0,5917.0,0.0,9.0,0.0,0.0,0.0,257.0,3
count3_node4_node16_node256,sparse_uint64,65536,0,0,0,47.222,1521888.0,1572864.0,3094752.0,17562.0,65536.0,2.634,4.0,0.0,17090.0,0.0,215.0,0.0,0.0,0.0,257.0,3
count3_node4_node16_node256,sparse_uint64,131072,0,0,0,47.534,3084680.0,3145728.0,6230408.0,39593.0,131072.0,2.8710000000000004,4.0,0.0,35957.0,0.0,3379.0,0.0,0.0,0.0,257.0,3
count3_node4_node16_node256,sparse_uint64,262144,0,0,0,48.652,6462448.0,6291456.0,12753904.0,61603.0,262144.0,2.9960000000000004,5.0,0.0,37340.0,0.0,24006.0,0.0,0.0,0.0,257.0,3
count3_node4_node16_node256,sparse_uint64,524288,0,0,0,45.106,11065728.0,12582912.0,23648640.0,73529.0,524288.0,3.03,5.0,0.0,14556.0,0.0,58545.0,0.0,0.0,0.0,428.0,3
count3_node4_node16_node256,sparse_uint64,1048576,0,0,0,81.976,60792520.0,25165824.0,85958344.0,97135.0,1048576.0,3.0610000000000004,6.0,0.0,31375.0,0.0,40280.0,0.0,0.0,0.0,25480.0,3
count3_node4_node16_node256,uuid_fixture,4096,0,0,0,79.682,109288.0,217088.0,326376.0,1426.0,4096.0,3.704,7.0,0.0,1143.0,0.0,283.0,0.0,0.0,0.0,0.0,3
