variant,workload,n,seed,fanout_target,groups,zipf_s,run,operation,seconds,ops,mops_per_sec,keys,node4,node16,node32,node48,node256,internal_nodes,leaves,internal_node_bytes,leaf_bytes,total_bytes,bytes_per_key,avg_leaf_depth,max_leaf_depth,fanout_0_4,fanout_5_16,fanout_17_32,fanout_33_48,fanout_49_64,fanout_65_256,node64,node4_bytes,node16_bytes,node32_bytes,node48_bytes,node64_bytes,node256_bytes
original4,dense_uint64,65536,1,0,0,0,12,lookup_absent,0.000180400,65536,363.281596,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,13,insert,0.003685600,65536,17.781637,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,13,lookup_success,0.001726400,65536,37.961075,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,13,lookup_absent,0.000200500,65536,326.862842,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,14,insert,0.003730900,65536,17.565735,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,14,lookup_success,0.001678100,65536,39.053692,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,14,lookup_absent,0.000188800,65536,347.118646,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,15,insert,0.003699100,65536,17.716742,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,15,lookup_success,0.001817800,65536,36.052371,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,15,lookup_absent,0.000190300,65536,344.382555,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,16,insert,0.003854600,65536,17.002024,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,16,lookup_success,0.001687000,65536,38.847659,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,16,lookup_absent,0.000218600,65536,299.798719,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
original4,dense_uint64,65536,1,0,0,0,17,insert,0.003779600,65536,17.339401,65536,0,0,0,0,257,257,65536,530448,1572864,2103312,32.094,8.000,8,0,0,0,0,0,257,0,0,0,0,0,0,530448
