variant,workload,n,fanout_target,groups,prefix_len,operation,runs,mops_mean,mops_std,scans_mean,scans_std,avg_entries,mops_ci95,scans_ci95
node64,controlled_fanout,330000,33,10000,0,iter_full,10,59.5864687,4.146135185600818,180.56505669999999,12.564046444304067,330000.0,2.5698012119988545,7.787276664859578
node64,controlled_fanout,330000,33,10000,4,iter_prefix,10,38.613547499999996,6.785226411648245,1170107.4987684,205612.92223154948,33.0,4.205526900544981,127440.20952049436
node64,controlled_fanout,480000,48,10000,0,iter_full,10,45.9936921,3.1240654971000525,95.8201921,6.50846974996858,480000.0,1.9363158559549345,4.033991344472635
node64,controlled_fanout,480000,48,10000,4,iter_prefix,10,39.2901398,1.9780379594465598,818544.5819707,41209.120848835526,48.0,1.2260006290240888,25541.677722068507
node64,controlled_fanout,490000,49,10000,0,iter_full,10,47.0642179,4.296823918559445,96.0494245,8.769028617535948,490000.0,2.6631990563181867,5.4351002465277825
node64,controlled_fanout,490000,49,10000,4,iter_prefix,10,39.5652183,1.8855123456030645,807453.4325372999,38479.84532731946,49.0,1.168652659420561,23850.055228082118
node64,controlled_fanout,640000,64,10000,0,iter_full,10,45.9131981,1.7511664503927697,71.739372,2.73619751370397,640000.0,1.0853842108814291,1.695912789193288
node64,controlled_fanout,640000,64,10000,4,iter_prefix,10,39.764048700000004,2.9354387581592207,621313.2613147,45866.23176221378,64.0,1.8194037919129853,28428.18497131978
node64,controlled_fanout,650000,65,10000,0,iter_full,10,49.2079217,1.660570651928229,75.7044949,2.5547242191377926,650000.0,1.0292323532418806,1.5834344759098273
node64,controlled_fanout,650000,65,10000,4,iter_prefix,10,38.8555051,3.809381726604766,597777.0015951,58605.873240529516,65.0,2.3610792556867963,36324.296565824516
node64,controlled_fanout,1280000,128,10000,0,iter_full,10,54.172208499999996,3.255961719055718,42.3220379,2.5437201190798615,1280000.0,2.018065981280533,1.5766140640322706
node64,controlled_fanout,1280000,128,10000,4,iter_prefix,10,49.536221499999996,1.1677777141459051,387001.7303617,9123.263902333443,128.0,0.7237961259872739,5654.657550729248
node64,controlled_fanout,2550000,255,10000,0,iter_full,10,58.804853300000005,1.8286054504208669,23.0607269,0.7171002898946479,2550000.0,1.1333814003650966,0.4444633644594862
node64,controlled_fanout,2550000,255,10000,4,iter_prefix,10,53.771344799999994,3.888454102325551,210868.01889630003,15248.838631228225,255.0,2.410088821913339,9451.328102420934
node64,dense_uint64,4096,0,0,0,iter_full,10,460.39902299999994,0.9793579471687952,112402.1052557,239.10103710993747,4096.0,0.607012344497488,148.19635816246577
node64,dense_uint64,4096,0,0,6,iter_prefix,10,483.14145479999996,39.36656332522946,117954.4567582,9610.97737662135,4096.0,24.39964873715148,5956.945493892783
node64,dense_uint64,4096,0,0,7,iter_prefix,10,430.51195420000005,45.61016547464159,1681687.3214841,178164.708505685,256.0,28.26947344198027,110427.630397436
node64,dense_uint64,16384,0,0,0,iter_full,10,420.6210495,4.960516486388719,25672.6714822,302.76590354517583,16384.0,3.0745599716895815,187.65625119615433
node64,dense_uint64,16384,0,0,6,iter_prefix,10,505.53781349999997,52.5256102285987,30855.5794346,3205.908837010194,16384.0,32.55571050727144,1987.04288357949
