variant,workload,n,seed,run,operation,seconds,visited,scans,mops_per_sec,scans_per_sec,avg_entries_per_scan,prefix_len,fanout_target,groups,keys,bytes_per_key,internal_node_bytes,total_bytes,avg_leaf_depth,max_leaf_depth
node32_node64,dense_uint64,4096,1,5,iter_prefix,0.005478100,2097152,512,382.824702,93463.062012,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,6,iter_prefix,0.005450600,2097152,512,384.756174,93934.612677,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,7,iter_prefix,0.005004800,2097152,512,419.028133,102301.790331,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,8,iter_prefix,0.005184400,2097152,512,404.511998,98757.811950,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,9,iter_prefix,0.005006100,2097152,512,418.919318,102275.224223,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,0,iter_prefix,0.000327200,131072,512,400.586793,1564792.161287,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,1,iter_prefix,0.000321800,131072,512,407.308880,1591050.314030,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,2,iter_prefix,0.000350400,131072,512,374.063929,1461187.223611,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,3,iter_prefix,0.000348400,131072,512,376.211254,1469575.212877,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,4,iter_prefix,0.000321300,131072,512,407.942730,1593526.290407,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,5,iter_prefix,0.000321200,131072,512,408.069746,1594022.446820,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,6,iter_prefix,0.000321700,131072,512,407.435493,1591544.893578,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,7,iter_prefix,0.000321300,131072,512,407.942730,1593526.290407,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,8,iter_prefix,0.000329300,131072,512,398.032193,1554813.253204,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node32_node64,dense_uint64,4096,1,9,iter_prefix,0.000406500,131072,512,322.440342,1259532.586001,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,0,iter_full,0.000044100,12288,3,278.639449,68027.209180,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,1,iter_full,0.000029300,12288,3,419.385701,102389.087060,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,2,iter_full,0.000029300,12288,3,419.385701,102389.087060,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,3,iter_full,0.000029200,12288,3,420.821964,102739.737327,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,4,iter_full,0.000029300,12288,3,419.385596,102389.061634,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,5,iter_full,0.000031900,12288,3,385.203816,94043.900355,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,6,iter_full,0.000031900,12288,3,385.203728,94043.878905,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,7,iter_full,0.000029200,12288,3,420.821964,102739.737327,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,8,iter_full,0.000029300,12288,3,419.385701,102389.087060,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,9,iter_full,0.000029300,12288,3,419.385701,102389.087060,4096.000000,0,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,0,iter_prefix,0.004462000,2097152,512,470.002690,114746.750410,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,1,iter_prefix,0.005132800,2097152,512,408.578554,99750.623495,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,2,iter_prefix,0.004996900,2097152,512,419.690608,102463.527328,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,3,iter_prefix,0.005028000,2097152,512,417.094670,101829.753389,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,4,iter_prefix,0.004521600,2097152,512,463.807502,113234.253365,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,5,iter_prefix,0.004996400,2097152,512,419.732608,102473.781141,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,6,iter_prefix,0.004993800,2097152,512,419.951139,102527.133623,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,7,iter_prefix,0.004539400,2097152,512,461.988809,112790.236666,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,8,iter_prefix,0.004992600,2097152,512,420.052077,102551.776645,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,9,iter_prefix,0.005441600,2097152,512,385.392532,94089.973564,4096.000000,6,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,0,iter_prefix,0.000475700,131072,512,275.534998,1076308.584137,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,1,iter_prefix,0.000297200,131072,512,441.022880,1722745.624655,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,2,iter_prefix,0.000290300,131072,512,451.505341,1763692.740185,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,3,iter_prefix,0.000290300,131072,512,451.505341,1763692.740185,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,4,iter_prefix,0.000294700,131072,512,444.764162,1737360.009482,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,5,iter_prefix,0.000291700,131072,512,449.338358,1755227.962028,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,6,iter_prefix,0.000296300,131072,512,442.362480,1727978.439043,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,7,iter_prefix,0.000293100,131072,512,447.192088,1746844.091908,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,8,iter_prefix,0.000293100,131072,512,447.192088,1746844.091908,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
paper6_indexed,dense_uint64,4096,1,9,iter_prefix,0.000293200,131072,512,447.039565,1746248.301526,256.000000,7,0,0,4096,32.101562,33184,131488,8.000,8
node256_only,dense_uint64,4096,1,0,iter_full,0.000029600,12288,3,415.135137,101351.351919,4096.000000,0,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,1,iter_full,0.000029400,12288,3,417.959208,102040.822187,4096.000000,0,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,2,iter_full,0.000029400,12288,3,417.959208,102040.822187,4096.000000,0,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,3,iter_full,0.000029400,12288,3,417.959208,102040.822187,4096.000000,0,0,0,4096,32.566406,35088,133392,8.000,8
node256_only,dense_uint64,4096,1,4,iter_full,0.000029400,12288,3,417.959208,102040.822187,4096.000000,0,0,0,4096,32.566406,35088,133392,8.000,8
