variant,workload,n,fanout_target,groups,prefix_len,operation,runs,mops_mean,mops_std,scans_mean,scans_std,avg_entries,mops_ci95,scans_ci95
count6_paper6,dense_uint64,16384,0,0,0,iter_full,25,293.34371104,13.153558330398738,17904.27923996,802.829486304849,16384.0,5.156194865516305,314.7091586315008
count6_paper6,dense_uint64,16384,0,0,6,iter_prefix,25,296.72459256,10.12135321040503,18110.631872399998,617.7583746655667,16384.0,3.9675704584787717,242.16128286890216
count6_paper6,dense_uint64,16384,0,0,7,iter_prefix,25,289.4877518,16.00652828413291,1130811.5306075201,62525.5010732177,256.0,6.2745590873801,24509.99642070134
count6_paper6,dense_uint64,65536,0,0,0,iter_full,25,280.33474592,40.7202958893735,4277.56875424,621.3424043864738,65536.0,15.962355988634414,243.56622251949776
count6_paper6,dense_uint64,65536,0,0,6,iter_prefix,25,289.56480984,9.413107675293649,4418.40835172,143.63262337265772,65536.0,3.6899382087151102,56.303988362081824
count6_paper6,dense_uint64,65536,0,0,7,iter_prefix,25,260.7058842,28.15104576221017,1018382.35978752,109965.0225985097,256.0,11.035209938786386,43106.28885861581
count6_paper6,dense_uint64,262144,0,0,0,iter_full,25,123.40157643999999,11.625308437012562,470.73965612,44.3470321923982,262144.0,4.557120907308924,17.384036619420094
count6_paper6,dense_uint64,262144,0,0,6,iter_prefix,25,279.34569683999996,11.020913405872966,4262.47706272,168.16579540637287,65536.0,4.320198055102202,65.92099179929816
count6_paper6,dense_uint64,262144,0,0,7,iter_prefix,25,63.347958639999995,10.834076875176107,247452.96349488,42320.61276478112,256.0,4.246958135069034,16589.6802037942
count6_paper6,dense_uint64,1048576,0,0,0,iter_full,25,51.766607359999995,1.8439355263659083,49.368483919999996,1.7585138490900958,1048576.0,0.722822726335436,0.6893374288433176
count6_paper6,dense_uint64,1048576,0,0,6,iter_prefix,25,63.4128236,3.462596406597487,967.6028992399999,52.835026495229066,65536.0,1.3573377913862148,20.711330386129795
count6_paper6,dense_uint64,1048576,0,0,7,iter_prefix,25,46.15698988,1.8180479933392457,180300.74186896,7101.749862594261,256.0,0.7126748133889843,2783.88594613695
count6_paper6,sparse_uint64,4096,0,0,0,iter_full,25,220.92409972000002,29.17883455586545,53936.54780216,7123.738916761178,4096.0,11.438103145899257,2792.5056553703816
count6_paper6,sparse_uint64,4096,0,0,1,iter_prefix,25,153.25080576,17.859781660194336,8991924.80515204,1040248.2307412982,17.04375,7.00103441079618,407777.30645058886
