variant,workload,n,fanout_target,groups,zipf_s,operation,runs,mean,std,ci95,menu_count
count2_node16_node256,dense_uint64,1048576,0,0,0.0,lookup_absent,10,200.7686205,2.0470358203808963,1.2687659462935719,2
count2_node16_node256,dense_uint64,1048576,0,0,0.0,lookup_success,10,4.2023600000000005,0.06881076894563021,0.04264935645349179,2
count2_node16_node256,sparse_uint64,4096,0,0,0.0,insert,10,12.576504400000001,3.0551369887659057,1.8935935238723889,2
count2_node16_node256,sparse_uint64,4096,0,0,0.0,lookup_absent,10,102.1494201,22.230474624428304,13.778590922834853,2
count2_node16_node256,sparse_uint64,4096,0,0,0.0,lookup_success,10,49.0331926,11.204587223470126,6.944675110164774,2
count2_node16_node256,sparse_uint64,16384,0,0,0.0,insert,10,12.8656605,1.7866124915217036,1.1073538947861028,2
count2_node16_node256,sparse_uint64,16384,0,0,0.0,lookup_absent,10,122.26091699999999,17.870412907415968,11.07619667296081,2
count2_node16_node256,sparse_uint64,16384,0,0,0.0,lookup_success,10,42.7192867,6.156422379135361,3.8157901233956815,2
count2_node16_node256,sparse_uint64,65536,0,0,0.0,insert,10,10.5512464,0.9900752619819924,0.6136550050387979,2
count2_node16_node256,sparse_uint64,65536,0,0,0.0,lookup_absent,10,60.0212589,3.9274874190622566,2.4342819222750163,2
count2_node16_node256,sparse_uint64,65536,0,0,0.0,lookup_success,10,28.722087199999997,2.4810112822522283,1.5377467242884177,2
count2_node16_node256,sparse_uint64,262144,0,0,0.0,insert,10,4.4113175,0.375131624472516,0.23250898971565376,2
count2_node16_node256,sparse_uint64,262144,0,0,0.0,lookup_absent,10,32.2485605,2.1711794618934785,1.3457109724781813,2
count2_node16_node256,sparse_uint64,262144,0,0,0.0,lookup_success,10,6.0042355,0.42329667937544413,0.2623620000312351,2
count2_node16_node256,sparse_uint64,1048576,0,0,0.0,insert,10,2.5140025,0.05876804240448662,0.036424810054997064,2
count2_node16_node256,sparse_uint64,1048576,0,0,0.0,lookup_absent,10,17.9880814,0.7441303336514826,0.46121675915050625,2
count2_node16_node256,sparse_uint64,1048576,0,0,0.0,lookup_success,10,3.6653849000000003,0.13509776691258313,0.08373446344827411,2
count2_node16_node256,uuid_fixture,4096,0,0,0.0,insert,10,8.8989682,0.8424604363334021,0.5221623882089932,2
count2_node16_node256,uuid_fixture,4096,0,0,0.0,lookup_absent,10,337.9764143,14.398933138334165,8.924551220348011,2
